job_group,badge,company_name,title,deadline,address_main,address_total,experience,education,employment_type,salary,tech_stack,createdAt,crawledAt,url,description
네트워크 엔지니어,IT개발·데이터 조회 급상승,(주)데움아이티,IT 헬프데스크 상주(대전),상시채용,대전,대전 중구,경력무관,학력무관,정규직,3000 만원,SE(시스템엔지니어)|네트워크|유지보수|기술지원|유지보수,등록일 24/10/15,2024-12-10 02:47:50,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49200841,
고객관리,구매·자재·물류 조회 급상승,청베니프,[LX하우시스 청베니프] 자재관리부 신입 및 경력직 직원 모집,2024-12-11 23:59:59,대구,대구 수성구,경력무관,학력무관,정규직,회사내규에 따름,고객응대|거래처관리|자재관리|재고관리|창고관리,등록일 24/11/11,2024-12-10 02:51:01,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49380814,
영업관리,성과급/상여금,(주)휴머니스트,[스타럭스] 프랑스 유기농차 쿠스미티(KUSMI TEA) 판매사원 모집,2024-12-12 23:59:59,서울,서울 강남구,경력무관,고졸↑,정규직,회사내규에 따름,고객관리|샵마스터|판매직|가구판매|가전판매,등록일 24/11/12,2024-12-10 02:50:29,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49389281,
영업기획,급성장중,(주)아이엔,[경력직] 마케팅 팀장급 모집,2024-12-13 23:59:59,대구,대구 수성구,경력2년↑,고졸↑,정규직,회사내규에 따름,마케팅기획|마케팅전략|블로그마케팅|인플루언서마케팅|콘텐츠기획,등록일 24/10/14,2024-12-10 02:50:53,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49192055,
퍼포먼스마케팅,취업축하금,(주)테크랩스,콘텐츠 디자이너 (브랜드엑셀러레이팅사업부),2024-12-14 23:59:59,서울,서울 강남구,경력 3~7년,대졸↑,정규직,회사내규에 따름,그래픽디자인|디지털디자인|모바일디자인|무대디자인|배너디자인,수정일 24/11/15,2024-12-10 02:49:04,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49410820,
재무담당자,워라밸,강남베드로병원,[강남베드로병원] 재무회계 경력직 직원 채용 공고,2024-12-13 23:59:59,서울,서울 강남구,경력 2~6년,초대졸↑,정규직,회사내규에 따름,경리|세무신고|재무|회계|더존,등록일 24/11/13,2024-12-10 02:48:25,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49396059,
콘텐츠기획자,워라밸,(주)러닝뱅크,[(주)러닝뱅크] 인하우스 광고홍보 기획 채용,2024-12-13 23:59:59,서울,서울 송파구,경력3년↑,초대졸↑,정규직,회사내규에 따름,마케팅기획|마케팅전략|광고마케팅|기업홍보|브랜드마케팅,등록일 24/10/14,2024-12-10 02:50:11,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49186903,
경영기획,교육 지원 TOP100,(주)스카이상사,기술영업/영업지원(일본어능통자) 신입•경력 채용,2024-12-15 23:59:59,서울,서울 영등포구,신입·경력,대졸↑,정규직,회사내규에 따름,기술영업|무역사무원|영업관리|영업지원|영업직,수정일 24/12/09,2024-12-10 02:48:42,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49544751,
기술지원,연봉상승률 10% 이상,(주)이에스디이앤씨,(주)이에스디이앤씨 안전진단부 신입사원 채용,2024-12-11 23:59:59,서울,서울 송파구,신입,학력무관,정규직,회사내규에 따름,안전관리자|토목기술자|시설관리|토목공사|CAD,등록일 24/11/11,2024-12-10 02:51:16,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49380232,
광고기획자,취업축하금,(주)하라커뮤니케이션즈,BTL 사업부 기획자 모집,2024-12-11 23:59:59,서울,서울 서초구,신입·경력,고졸↑,정규직,회사내규에 따름,마케팅|마케팅기획|마케팅전략|오프라인마케팅|마케팅기획,수정일 24/11/12,2024-12-10 02:49:32,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49386943,
